Ticker,AAPL,ABBV,ABT,ACN,AMD,AMZN,AVGO,BA,BRK-B,CAT,COST,CRM,CSCO,CVX,DHR,DIS,GE,GOOGL,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NKE,NVDA,PEP,PG,PM,SBUX,TMO,TSLA,TXN,UNH,UNP,UPS,V,WFC,WMT,XOM
AAPL,1.0,0.2363207716157708,0.20860670571510662,0.34425084033314457,0.4149344234397288,0.5437321886339599,0.4340370339297534,0.43281989488896244,0.45066759943022816,0.4862237636135569,0.324087417504008,0.39848462236255405,0.5581098287508572,0.4254937487469198,0.4427408972836399,0.47764659132910015,0.45316964475288646,0.503758888488521,0.4182743993364706,0.49080083745833125,0.35501402412427646,0.2878667596496243,0.33049334205852315,0.08504859269286805,0.5284720352243385,0.1069300617222195,0.16724686238790398,0.4089812141231329,0.5175815756026878,0.18846431754072446,0.47223203681241177,0.23474517132518238,0.40255040725992486,0.19645932249002904,0.45161559703940285,0.5008600964613125,0.21265325172302657,0.22690541999434724,0.021708674505210655,0.5294382527692167,0.4158134618574401,0.5105080880475407,0.4865962015939126,-0.020853292158242887,0.5617583647093266,0.4871862123807635,0.5117992646940266,0.5133222431431775,0.3690504831228729,0.34673316204793947
ABBV,0.2363207716157708,1.0,0.28118359477008836,0.20036272295370547,0.14550096559129494,0.00788476860506036,0.09301351753016404,0.11520563972673337,0.3169366639836602,0.2114523483926848,0.15058411943373093,0.10274504268447315,0.22060007000427367,0.19720134162304462,0.4786030472915492,0.2087943481323583,0.2101138070011522,0.08350847087737298,0.22158956769215624,0.316072495919369,0.15162850639838785,0.184260613667365,0.15356883055675757,0.4315824405299224,0.16218933276794387,0.2964277074265238,0.36954368608841226,0.2668061143314814,0.303002153840947,0.3284594232732386,0.07996698220271323,0.5911578958272231,0.08272082079265104,0.2682809845876227,0.13719339983636497,0.12728562557405448,0.3087278474726915,0.35801747728791866,0.15662328242587728,0.20378226626240514,0.4571485122690361,0.10999846293119411,0.24346753094549806,0.04801596657074698,0.2339347807188914,0.26156545164976497,0.2952861694259691,0.14255383366711746,0.20791184580982183,0.1424577656398042
ABT,0.20860670571510662,0.28118359477008836,1.0,0.16264485925690741,-0.007784632949185447,-0.01892900246384817,-0.020426674897103536,0.07846503078132877,0.3022306168250359,0.08132036164343337,0.19131833470193388,0.0526272786373488,0.1705111182718408,0.18324263912236427,0.2407395577304596,0.18960206130869037,0.3131082493902728,0.015277267435074194,0.24585646212599527,0.2081558663118941,0.17954294044035565,0.03627873098920354,0.08664646218033284,0.32089432505646226,0.1564996449793615,0.2880775232040969,0.15308268757636728,0.19743405140397186,0.3016967418536692,0.2955458631053337,-0.028631076023159837,0.28947779683524283,-0.0013928597019820478,0.19226859075364994,0.09744855902916993,-0.01354565493992411,0.19628633553801816,0.2569016692659317,0.24862444576743858,0.16366428094757826,0.18595413332222663,0.03943027582479812,0.15138535575477685,0.07258683397553554,0.25866182619705774,0.1484204711830861,0.30276952735592383,0.11254457750709043,0.2381564046260073,0.15369353823228174
ACN,0.34425084033314457,0.20036272295370547,0.16264485925690741,1.0,0.20042530078656584,0.37810196882186986,0.17520345612686605,0.2511716119976208,0.2922206676041758,0.26289025144393197,0.2532629371572539,0.548009777579968,0.33578439657290904,0.18361802304995492,0.38885862389806125,0.47964143738464293,0.19557615065933173,0.24198755528125843,0.35696157946342383,0.410416127591159,0.48069947176801064,0.1865132623590802,0.46802849660742013,0.05441486683600863,0.36598919572945793,0.07624022673671883,0.20029267131776118,0.3850975105691261,0.5027753403022183,0.22203899938163185,0.2846649139708426,0.1752354817539888,0.31127886342242644,0.03388249194994004,0.36354947483957906,0.20409789308788004,0.08935365506329063,0.18293013872722902,0.023213838725713656,0.36268862416650416,0.3678994017370681,0.29196715715004484,0.40627575684930683,0.14725263317272708,0.4047704622478879,0.40242460658604307,0.47598857134036743,0.3398541542789943,0.16156631279769787,0.130537222950798
AMD,0.4149344234397288,0.14550096559129494,-0.007784632949185447,0.20042530078656584,1.0,0.4362385733928943,0.4905230400401902,0.4344005734977026,0.13027951783440697,0.49425545613507166,0.16134085407885815,0.28311279349916185,0.46826264196117967,0.26565766931804696,0.2618015390983979,0.3747019107434283,0.4164173502677668,0.4152595944318352,0.159590006132588,0.27179051492847,0.3028811359105463,0.32912989744785565,0.19589453104091648,-0.05215677822317186,0.38217863765554444,-0.11331013326426095,0.0928947315653541,0.14815109868836773,0.2318112452823499,-0.09813728370477151,0.42782043883152454,0.04106284877362742,0.4226909081458953,0.1613969343265897,0.23442324416601396,0.6324685280656099,-0.04480099146830037,-0.12280859028123188,-0.06460188810261176,0.2639865814684358,0.29682525030452317,0.4878507345643321,0.40435476592132685,0.0648316366752003,0.20585944654891616,0.21287372354691173,0.27451144524176785,0.3346737024682694,0.19135706017516768,0.2121590105008519
AMZN,0.5437321886339599,0.00788476860506036,-0.01892900246384817,0.37810196882186986,0.4362385733928943,1.0,0.46079327684881594,0.4574165031375464,0.26839211581102945,0.39877794006839157,0.2392236296501537,0.513324794446371,0.40704172821128143,0.2969885766951528,0.35613670420084254,0.46785353625060266,0.3956246631309039,0.5253260764563774,0.33452414189905416,0.386559304991151,0.2685513175775825,0.27277247836707713,0.4008549603880298,-0.16534109442383788,0.49885096104917376,-0.14520774491734686,0.10534219248309618,0.2629321925331954,0.42431221353001064,-0.0351736911262207,0.6319072557265663,0.0809677673425188,0.5197028763142993,0.10249658806526438,0.39512597800632665,0.5536416900658512,-0.08831565341045539,-0.03195712927466836,-0.0958938922960768,0.4081888998141363,0.3603678763592871,0.5085560478520321,0.43074248570194057,0.041341266015741604,0.3422645048971756,0.38166825493666634,0.39555533771677,0.4705771726658386,0.16893713785880102,0.19978785982751845
AVGO,0.4340370339297534,0.09301351753016404,-0.020426674897103536,0.17520345612686605,0.4905230400401902,0.46079327684881594,1.0,0.4123647251491953,0.11749906998466443,0.528283498997614,0.08471840921172319,0.331709292988234,0.4473287444621822,0.2209076621474538,0.28041445830353195,0.35369464219452584,0.4889504266327186,0.47929059316705575,0.1457572520863506,0.23490747384842836,0.30741903555769406,0.28723045013075266,0.30044283932527227,-0.1109915322604883,0.45007263956445165,-0.1840073430997985,0.06647346417049496,0.1622597545763703,0.21812312553784172,-0.08743164795553315,0.5056920102252103,0.05241959504225769,0.4627234130970351,0.05647442661635599,0.25847890449871747,0.7078850700307391,-0.1003338252087908,-0.2033677973386354,-0.05617213350889078,0.32045738106867655,0.23544279217490682,0.45588094260610984,0.36309438146970135,-0.02148088118089957,0.17067487133435758,0.19405587336987568,0.2480226811992397,0.34770911006932836,0.13955039644729622,0.12789114140549926
BA,0.43281989488896244,0.11520563972673337,0.07846503078132877,0.2511716119976208,0.4344005734977026,0.4574165031375464,0.4123647251491953,1.0,0.3438075945742578,0.37807886627945697,0.3085207992300793,0.3471770949631826,0.34990065240961704,0.34765981779042304,0.3439795759774831,0.4247282753307137,0.5364753408559751,0.29005912721407606,0.3195968822888538,0.4180575718792437,0.20935381859930524,0.3409741066087541,0.3295709129466286,-0.02717012392203274,0.48740244448159253,0.0014984575177505188,0.2195953173248347,0.2720235688765206,0.3549087416918677,0.050757425548008994,0.45954418703701405,0.1416692482295528,0.4255483040849729,0.15410112172725146,0.3483759825701991,0.4668417647779589,0.01604119400382763,0.0315819697255406,0.08514094934437805,0.4338656074654034,0.28742549858566996,0.4679589581278796,0.4291204214058809,0.05272912866667578,0.3568856163073998,0.3651338685063151,0.3511327730730075,0.4911946187867272,0.32358715461902987,0.2406016563087686
BRK-B,0.45066759943022816,0.3169366639836602,0.3022306168250359,0.2922206676041758,0.13027951783440697,0.26839211581102945,0.11749906998466443,0.3438075945742578,1.0,0.2657016375117191,0.35393990003516895,0.2543441220167503,0.31471429654618216,0.4079143430619519,0.38623554454823045,0.36076942158854014,0.38490330341070117,0.13110994725365804,0.39891826084411974,0.4724868308712821,0.2624784200565193,0.24210719616442164,0.27707840793880134,0.2567942046480417,0.508191275523381,0.3442006032958512,0.31826509172686734,0.34712769862299625,0.5594604276844262,0.3755758595919174,0.24585739414307747,0.35200088042661076,0.19967311847003408,0.2892613843015471,0.3080145274913387,0.153076774028152,0.2911739627329101,0.3959594525143615,0.24855439086006503,0.3851192991062948,0.32831960594766835,0.2757884879060275,0.33451587008880135,0.15902908139443447,0.4845084089039238,0.31431907879574833,0.5627206575148009,0.44008819002172866,0.39297844263544673,0.3595990494777738
CAT,0.4862237636135569,0.2114523483926848,0.08132036164343337,0.26289025144393197,0.49425545613507166,0.39877794006839157,0.528283498997614,0.37807886627945697,0.2657016375117191,1.0,0.18643415531995222,0.2845523214645803,0.45455410951937963,0.38636842121326664,0.43713088522157223,0.439476899833378,0.47506932500796856,0.4209995457169208,0.3334180137233587,0.5190640959326044,0.27674564684981934,0.3767737083459031,0.17313627030652626,0.04491304390042731,0.5362451913988231,-0.10081373442110113,0.19905667037145014,0.37699381967620654,0.35852056403583427,0.04587540547458044,0.4500735047807911,0.21412311583951682,0.2924528053088103,0.19109738427046616,0.38481823688000055,0.505167208961855,0.09876356253383713,0.02749397996132267,-0.08850209790168131,0.46109874069688017,0.4340503269604262,0.43794541138183646,0.4552532650203698,0.0074226067196475135,0.4704923306309321,0.4749918319713354,0.3497984996786284,0.5054408995163063,0.2911254316723058,0.32987161270697335
