Ticker,Total Return (%),Annualized Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Avg Volume (M),Current Price ($),MA50 ($),MA200 ($),Above MA50,Above MA200
CAT,126.79526911019137,128.28588670390434,33.40703688042887,3.7203505102458156,-21.79845996125351,2.837998,742.8300170898438,661.5555847167968,505.27426620483396,1,1
AMD,103.81757087635823,104.98191885141294,64.36019251521128,1.5690120694953835,-31.87875555475222,48.169508,200.2100067138672,218.6697998046875,186.58219982147216,0,1
INTC,100.57168456210958,101.69158506659453,66.93341567112194,1.4595338380249887,-30.05401578934394,103.298208,45.61000061035156,44.21740020751953,32.348300018310546,1,1
GOOGL,87.40257594909482,88.34658952725279,30.971236383940457,2.7233846424997448,-16.67626609093029,37.4617956,311.760009765625,319.9835998535156,249.41077621459962,0,1
AVGO,72.08602712138557,72.83495193286649,49.49295772703772,1.3908029565034936,-25.26347961456375,26.2904704,319.54998779296875,335.579912109375,317.66343353271486,0,1
GE,70.43490841186033,71.16344541517599,31.41988735084782,2.137609363942028,-21.364256259558832,5.4227728,342.260009765625,316.4645538330078,285.4063038635254,1,1
NVDA,55.390558426932614,55.93945944600207,42.818149587787666,1.2130243820909048,-22.487054580612565,206.0826716,177.19000244140625,185.62100067138672,174.9459432220459,0,1
JNJ,52.6492928965248,53.16669991342986,19.049564687488747,2.580988107603386,-12.725099916071809,8.874109599999999,248.42999267578125,222.7279052734375,185.69948211669922,1,1
XOM,46.380641017275615,46.82753705116423,24.90009686431397,1.7199747167467165,-16.05342643364541,17.0155232,152.5,133.89882064819335,115.82064079284667,1,1
TSLA,41.40524096129141,41.797714276169586,60.75642091861375,0.6221188428265303,-23.00271071997926,94.920574,402.510009765625,436.13920043945313,390.66169982910156,0,1
MRK,37.92261671765396,38.277835264360085,29.323644340227446,1.1689486772739317,-22.491825984315923,14.2880772,123.81999969482422,112.09420013427734,90.67825286865235,1,1
NEE,34.82088431230399,35.14352070176907,26.74332977232728,1.1645341461553864,-15.82195532558845,10.9511756,93.7699966430664,85.20083435058594,77.58497455596924,1,1
BA,33.79395627763782,34.10593176172054,37.53067407174056,0.8021686928450182,-25.19305598477313,8.2568728,227.52999877929688,232.94980010986328,218.3883501434326,0,1
WMT,32.364733239158404,32.661977592612956,25.333520064860682,1.131385512918478,-15.960023166465643,21.692926,127.94999694824219,120.11260009765626,105.80624824523926,1,1
CSCO,28.21463230155348,28.469812993497,27.55681015688142,0.8879769775307779,-16.28342925341418,21.610673600000002,79.45999908447266,77.75834808349609,70.89816864013672,1,1
CVX,27.48353531197758,27.73141738691156,24.91409626492854,0.9525297299391978,-20.639715856374423,9.494377199999999,186.75999450683594,167.00438598632812,152.40563652038574,1,1
HON,24.51180680755045,24.730372561584723,25.024375116535463,0.8284072015802955,-16.032652808700554,4.327351764,243.58999633789062,218.87214447021483,206.33797760009764,1,1
PM,21.815533414556356,22.007995665783,24.652434422394357,0.7304753501108383,-20.636352359893806,6.0472572,186.8300018310547,172.4222232055664,165.13952613830565,1,1
JPM,17.587879649706252,17.740387199158203,26.097859816351317,0.5264947890688462,-18.818496475732232,9.679278,300.29998779296875,313.03398071289064,297.36826171875,0,1
KO,16.10382693367867,16.24259783108377,16.92795427814204,0.7232177987916614,-9.818500947345166,17.0418624,81.55999755859375,73.87560028076172,70.03319053649902,1,1
MCD,14.039745452126141,14.159665916750331,17.857869218618784,0.5689181498853046,-10.619846443564057,3.435086,341.05999755859375,316.75199951171874,305.63905319213865,1,1
LLY,13.989070257640979,14.108531696928406,42.69849433554806,0.23674211126720413,-32.56759530853851,3.9108387999999996,1051.989990234375,1051.6820385742187,871.7681384277344,1,1
